Entidad,2013 Trimestre I,2013 Trimestre II,2013 Trimestre III,2013 Trimestre IV,2014 Trimestre I,2014 Trimestre II,2014 Trimestre III,2014 Trimestre IV,2015 Trimestre I,2015 Trimestre II,2015 Trimestre III,2015 Trimestre IV,2016 Trimestre I,2016 Trimestre II,2016 Trimestre III,2016 Trimestre IV,2017 Trimestre I,2017 Trimestre II,2017 Trimestre III,2017 Trimestre IV
Aguascalientes,119.9,122.3,112.8,118.4,137.8,131.8,132.3,138,135.5,136.5,135.1,130.2,133,134.2,130.2,134.6,139.9,143.6,135.3,125.9
Baja California,92.6,99,101.1,99.4,93.9,98.6,103,104.2,97.8,100.3,102.5,105.5,99.1,100.8,102.1,104.8,100.3,104.6,103,107.1
Baja California Sur,94.1,105.8,85.7,121.9,109.2,119.5,102.1,112.7,124.9,149.1,183.3,161.4,158.6,177.6,178.2,170,174.6,220.9,221.6,204
Campeche,113.8,124.8,95.8,100.7,116.8,120.9,92.8,99.3,148,120,114.8,115.8,144.8,145.4,114.5,125,140.5,134.3,97.4,101.3
Chiapas,82.3,83.6,86,87,83.2,92,99.9,93.4,90,92.1,103.1,112.4,104,104,97.2,98.3,88,84.7,83.8,80
Chihuahua,113.5,119.7,115.4,114.6,114.9,119.9,121.9,121.7,119.9,122,119.1,119.2,122.8,123.9,120.6,125.1,126,123.9,121.4,119.5
Coahuila de Zaragoza,86.5,93.3,91.2,94.9,95.8,98,93.8,93.1,93.6,94.5,93.5,93.7,92.9,97.9,95.6,96.9,94.7,93.9,92.5,94.2
Colima,74.6,65,52.3,55.3,72.5,62.5,62.7,66,86.4,98.4,93.2,85.4,91.9,67.6,61.4,64.1,73.7,65.8,58.3,56.8
Ciudad de M?xico,108,111.7,113.7,110.5,109.1,109.5,109.5,108.5,105.4,106.3,109.1,107.7,101.7,105.8,108.4,106.5,104.8,103.4,105.6,106.9
Durango,84.9,86.4,86.6,88.2,80.6,83.8,83.2,85.4,80.8,82.6,81.1,80.8,74,78.9,78.4,68.2,67,69.4,70.6,69.4
Guanajuato,114.6,107,118,111.4,116.9,115.4,122.5,122,120.4,131,124.6,120.5,123.4,130.5,124.8,124.2,126.9,123.9,123.1,119.6
Guerrero,100.1,108.8,103.8,123.4,118.3,120.6,100.3,72.9,134.2,129.6,136.7,127.4,126.9,139.9,154.1,145.2,149.8,160.2,145.1,141.1
Hidalgo,97.5,110.7,98.1,99.8,99.3,107.6,102,92.3,91.8,100.7,89.2,100.9,96.4,97.9,80.8,72.8,87.5,98.6,93.2,94.6
Jalisco,125.8,127.9,130.1,132.9,128.2,141.1,139.9,144.3,141.5,141.6,146.5,149.5,149.9,146.2,149.8,147.8,145.9,141.6,148.4,148.9
M?xico,111.8,117.1,118.1,116.4,114.5,118.1,115.7,112.7,112.3,115,115.6,114.2,104.6,109.3,111.5,109.3,112.2,114,118.6,114.7
Michoac?n de Ocampo,122.9,127.8,126.4,122.7,124.3,103,101,95.8,98.9,102,97.4,82.7,89.8,99.9,104.9,101.6,107,102.3,99.4,104.1
Morelos,120,114,110.1,103.7,112.9,109.1,100.9,102.4,110.1,110.9,109.3,114.2,112.9,116,116.7,112.8,121,116.8,112.7,107.7
Nayarit,141.6,161.1,91.3,67.1,137.3,180.1,84.9,72.2,135.7,203.9,80.9,71.6,148.9,203.4,68.9,75.2,146.7,156.5,63.3,61.2
Nuevo Le?n,105.1,113.3,112.3,111.9,113.6,115.3,118.6,115,114.6,111,113,111.9,112.5,112.1,107.6,106.2,112.4,114.3,112.2,108.3
Oaxaca,118.3,112,120.4,113.2,111.7,113.2,114.6,109.4,101.5,94.3,115.1,112.1,105.4,106,112.1,98.3,100.4,79.9,37.5,34.4
Puebla,122.8,134.3,119.8,111.8,118.9,132.7,115.7,123.6,126.6,129.1,118.6,120.7,116.3,127.6,120.1,122.7,133,136.9,138.3,137.3
Quer?taro,100.9,103.3,103.9,103.1,104.9,108.2,112.9,112.2,110.7,115.1,117,115.6,111.6,115,111.9,110.8,110.8,110.6,107.6,109.1
Quintana Roo,131.2,121.8,83.5,93.5,121.4,115.7,91.1,99,128.7,115.2,88.2,90.7,120.4,120.3,73.9,87.2,139.7,103.4,72.9,76.4
San Luis Potos?,115.8,113.7,101.9,103.3,106.1,108.7,106,105,102.7,101.6,108.4,103.6,103.3,109.7,108.4,107.1,111.4,109.6,110.6,114.8
Sinaloa,107.8,101.8,100.8,94.1,98.6,98.9,95.4,96.3,103.9,97.5,94.4,96.7,92.7,100.7,96.5,94.5,100.5,103,98.2,95.5
Sonora,109.2,114.7,108.4,100.5,102.3,107.3,106.9,105.3,111.7,113.4,107.8,112,117.8,108.9,115.5,99.1,102.3,97.6,97.8,92.7
Tabasco,103.7,105.8,124,107.7,107.8,106.3,118.6,119.6,111.8,101.8,114.4,109.4,107.3,114.9,126.3,119.1,121.2,126.4,121.4,105.7
Tamaulipas,98.4,100.9,96.2,95.4,93.4,97.8,95.1,92.8,92,88.4,87.8,86.1,82.3,79.2,79.4,78.4,79.1,80.6,76,71.3
Tlaxcala,104.7,110.6,112.5,107.1,111,117.8,125.6,121.5,127.1,128.9,131.4,124.5,125.6,127.9,132.2,121.3,126.4,122.7,114.7,116
Veracruz de Ignacio de la Llave,92.3,96.3,87.9,79.4,95.9,96.8,92.3,86.3,91.6,94.3,96.2,80.9,88.8,86.2,86.6,86.1,89.5,79.7,79,75.5
Yucat?n,122.2,126.6,125.8,126.9,126.1,129.3,126.9,132.6,115.9,127.1,137,135.7,132.4,137.6,139.7,144.8,136.8,135.3,136.5,139.2
Zacatecas,71.6,82.1,74.8,56,72.6,83.3,78.2,67.7,68.5,72.7,73.9,70.5,72.9,72.6,69.3,67.9,66.7,74.2,73.9,71.7
