Estado,Densidad,Sucursales,IED,Salario,Prod_menor,Prod_mayor
Aguascalientes,237.2945363465,1.7,1568.83,308.65,-0.7,1
Baja California,51.12610924,1.62,1521.49,328.22,2.8,1.9
Baja California Sur,10.9916700651,2.28,502.24,306.02,-1.5,0.7
Campeche,16.4450524141,2.06,313.18,389.4,-1.9,-6.3
Chiapas,71.1567436418,1.23,204.96,327.58,-1.9,1.9
Chihuahua,15.3063970182,1.75,1726.12,281.41,-0.3,2.2
Coahuila,19.9889152702,1.89,2376.9,291.26,2.5,2.4
Colima,137.0854344865,2.94,143.93,315.11,1.2,4
Distrito Federal,5965.1295946342,2.8,4861.28,420.96,0.9,1.6
Durango,14.7864570552,1.52,97.64,261.65,-0.7,0.8
Guanajuato,194.6884477638,2.37,3738.58,281.95,-2.3,1.3
Guerrero,55.1900138815,1.47,1595.51,271.81,0.8,8.1
Hidalgo,140.4293853876,1.51,405.26,288.51,-0.1,0.8
Jalisco,100.8832862965,2.62,356.61,328.99,-0.5,-0.2
M�xico,742.5734315156,1.34,1373.67,323.08,-0.3,-4.4
Michoac�n,77.778090766,1.94,290.4,285.36,-6.7,3.6
Morelos,397.775180962,2.15,595.06,328.27,-3.5,2.4
Nayarit,46.4025310265,2.29,595.06,260.39,-0.8,3.9
Nuevo Le�n,81.0458405805,2.69,1818.16,369.48,0.1,-1.3
Oaxaca,42.7539458398,1.56,418.75,267.27,0.6,1.1
Puebla,186.1431381232,1.62,939.41,303.93,0.5,-0.9
Quer�taro,175.3035967449,2.58,1025.38,371.11,-8.8,0.1
Quintana Roo,26.4052811147,2.22,440.32,248.89,2.1,4.8
San Luis Potos�,46.2756054781,1.72,1165.15,326.8,-9.3,-2.5
Sinaloa,52.2437223345,1.8,760.71,245.65,3.5,1.5
Sonora,15.7854198051,1.82,253.46,288.09,3.5,0.9
Tabasco,98.590064672,1.61,382.42,281.23,-0.2,2.9
Tamaulipas,45.4135475649,1.83,1623.85,310.92,0.2,-1.1
Tlaxcala,323.3482559598,1.31,159.51,280.04,0,-0.3
Veracruz,105.6262844717,1.63,890.34,333.12,3.2,1.6
Yucat�n,54.9522298531,2.28,110.26,291.57,3.6,-2.6
Zacatecas,21.3978754535,1.6,310.37,307.12,0.6,3
