"","PIB","Sucursales","Cajeros","Densidad_población","IED","Prod_mayor","Prod_menor","Prod_manof","Salario"
"1",3.05,1.86,5.73,224.8704194,45.44,5.5,5,118.3,250.87
"2",2.08,1.71,7.42,48.22329198,1295.13,-1.7,-7.9,98,270.41
"3",-1.98,2.31,9.23,9.747899917,421.47,11.6,110.6,102.3,259.35
"4",0.88,2.08,4.95,15.48217917,278.45,15.2,3.1,108.7,336.5
"5",-1.34,1.23,1.95,67.68097172,193.23,7.6,-7.1,84.8,265.71
"6",3.73,1.84,5.49,14.7153051,2346.96,-2.9,-0.7,115.7,240.23
"7",-2.06,1.96,6.91,19.06768529,1805.77,1.4,1.2,91.5,239.83
"8",0.97,2.96,6.12,128.0101421,167.88,5.7,8.9,61.8,251.96
"9",1.49,2.91,9.09,6020.964841,5886.85,-0.6,-1,111,366.27
"10",3.34,1.43,3.39,14.20389026,447.44,4.2,-10.7,86.6,216.13
"11",4.14,2.43,3.83,188.4566662,4587.12,6.7,-0.7,112.8,228.31
"12",0.32,1.42,2.78,53.91473396,2635.67,6.5,-4.3,108.7,242.08
"13",3.67,1.48,3.03,133.7170976,1086.71,-2.2,-4.7,101.5,242.36
"14",2.34,2.75,5.32,96.29817825,474.24,3.9,-5.7,129.3,280.69
"15",1.88,1.46,3.36,699.8420001,2942.76,-3.4,-0.1,115.9,273.77
"16",2.11,1.98,2.85,75.63675868,2254.68,1.9,-16.9,124.9,244.27
"17",3.65,2.27,4.8,379.2982253,451.06,4.1,-3.5,111.9,276.53
"18",2.8,2.41,4.74,43.10809396,451.06,27.7,-1.5,119.3,220.54
"19",1,2.85,9.53,76.57574904,2274.2,3.3,-6.8,110.6,310.58
"20",2.43,1.44,2.21,41.67544314,1942.56,-0.2,10.4,115.9,231.36
"21",-0.95,1.68,2.98,178.885205,1450.89,4.8,-0.6,122.3,256.2
"22",0.53,2.7,6.46,165.1703043,908.55,6.3,-1,102.7,310.39
"23",4.43,2.36,12.38,23.55473982,1003.16,3.8,-4.5,107.6,216.6
"24",3.57,1.64,3.89,44.62904255,2008.16,12.1,-8.2,108.6,259.52
"25",1.18,1.93,4.56,50.47705006,625.46,3,-3.1,101.1,206.98
"26",2.9,2.04,6.26,14.94500743,2088.96,4.1,-1.3,108.2,236.12
"27",-1.84,1.58,3.9,94.66295503,324.32,4.9,-34.6,110.1,248.73
"28",1.47,1.92,6.83,43.39185333,1740.32,3.1,1.1,97.7,258.8
"29",-2.51,1.3,2.79,306.0284243,73.42,29.7,-16.3,108.8,231.68
"30",0.21,1.62,3.51,102.5112443,1704.38,-0.9,-9.9,89,285.28
"31",0.51,2.46,4.68,52.20346059,529.55,6.5,-6.7,125.4,242.78
"32",-1.26,1.6,3.02,20.72625228,3973.21,0.2,-16.9,70.8,243.63
"33",10.54,1.84,5.75,228.0863617,938.58,1.3,0.8,135,261.73
"34",1.68,1.62,7.56,48.96302229,1150.42,0.3,-5.5,100,277.78
"35",-0.14,2.41,8.59,10.05791877,247.79,17.6,7.9,110.7,271.75
"36",-4.69,2.23,5.29,15.72554733,216.59,-1,11.3,107.5,387.48
"37",5.07,1.25,2.02,68.57188815,35.02,0.1,-3,92,280.49
"38",2.22,1.79,5.96,14.86656999,1847.42,1.6,2.3,119.7,249.59
"39",5.13,1.87,7.08,19.30180443,1625.05,1.1,-1.5,95.1,253.14
"40",2.5,2.99,6.12,130.3358047,195.11,0.9,-8.6,66.1,262.07
"41",2.12,2.84,9.63,6008.089768,5733.37,1.5,-2.2,109.2,379.68
"42",2.37,1.46,3.53,14.35490481,75.22,2.2,0.2,83.2,227.38
"43",4.45,2.44,4.16,190.09802,3534.84,-0.3,2.3,119.3,239.49
"44",4.67,1.44,2.76,54.26436515,1312.92,-11.2,2,101.9,249.58
"45",3.94,1.52,3.11,135.4538711,479.44,-7.2,-2.3,100.3,255.48
"46",4.27,2.69,5.53,97.48857351,-76.43,-1.6,-0.1,138.4,291.65
"47",2.96,1.4,3.43,710.7354539,1682.67,0.1,0.8,115.3,285.86
"48",6.6,1.96,2.86,76.20338112,209.56,2.4,3.6,106,255.64
"49",1.11,2.17,4.87,383.9943225,356.1,-10,-3,106.3,290.97
"50",5.44,2.24,4.91,43.94211251,356.1,4.2,-1.5,122,229.64
"51",3.29,2.84,9.94,77.69981345,1564.67,-0.1,-0.6,115.6,323.18
"52",2.05,1.61,2.39,41.96138665,482.8,-2,-5.3,112.1,240.29
"53",0.97,1.63,3.19,180.7688281,1050.3,3.8,-9.8,122.7,268.37
"54",8.02,2.69,6.83,167.7658428,1096.37,-4.6,4.7,109.6,324.07
"55",3.72,2.29,12.57,24.26722473,217.13,7.2,6.8,107,223.67
"56",2.44,1.65,3.99,45.05949273,1058.04,4.9,3.6,106.4,273.83
"57",2.13,1.89,4.64,50.93112204,401.17,3.5,2.5,97.3,216.26
"58",1.72,1.95,6.31,15.15991071,907.38,-0.3,-2.1,105.4,247.95
"59",1.66,1.65,4.08,95.67471269,239.71,-1.8,-6.7,112.9,265.9
"60",1.12,1.86,6.77,43.91066138,727.21,0.6,3.1,94.8,271.73
"61",3.24,1.29,2.87,310.4350033,116.08,-1.8,5.8,119.1,242.08
"62",1.22,1.64,3.73,103.3223913,1270.34,2.5,1,92.9,302.99
"63",3.38,2.47,4.85,52.8954557,84.54,-3.9,9.3,128.7,258.23
"64",6.95,1.57,3.1,20.90200306,696.8,2.1,5.1,75.3,255.23
"65",3.74,1.77,6.15,231.2263784,816.28,3.5,-1.1,134.3,274.55
